76011002,76011002
68009001,Nicolás Suárez [Province: Bolivia],,,,
"",68009002,,,"Manuripi, Abuna, Federico Román, Madre de Dios [Province: Bolivia]",
76011001,"Porto Velho, Buritis, Campo Novo de Rondônia, Candeias do Jamari, Alto Paraíso, Governador Jorge Teixeira,Ariquemes, Monte Negro, Itapuã do Oeste, Cacaulândia, Jaru, Rio Crespo, Cujubim, Theobroma, MachadinhoD'Oeste, Vale do Anari  [Municipality: Brazil]",,,,
76011002,76011002,,"Guajará-Mirim, Nova Mamoré, São Francisco do Guaporé, São Miguel do Guaporé, Seringueiras, Alvorada",,
"",,,,"D'Oeste, Mirante da Serra, Alta Floresta D'Oeste, Nova União, Urupá, Ouro Preto do Oeste, Teixeirópolis,",
"",,,,"Nova Brasilândia D'Oeste, Alto Alegre dos Parecis, Vale do Paraíso, Presidente Médici, Ji-Paraná, Pimenteiras",
"",,,,"do Oeste, Cerejeiras, Corumbiara, Chupinguaia, Cabixi, Vilhena, Colorado do Oeste, Costa Marques",
"",,,,[Municipality: Brazil],
76011003,"Novo Horizonte do Oeste, Castanheiras, Rolim de Moura, Santa Luzia D'Oeste, Cacoal, Ministro Andreazza,Parecis, São Felipe D'Oeste, Pimenta Bueno, Primavera de Rondônia, Espigão D'Oeste  [Municipality: Brazil]",,,,
"",76012001,,,"Rio Branco, Bujari, Porto Acre  [Municipality: Brazil]",
76012002,"Cruzeiro do Sul, Porto Walter, Marechal Thaumaturgo  [Municipality: Brazil]",,,,
"",76012003,,,"Brasiléia, Xapuri, Capixaba, Epitaciolândia  [Municipality: Brazil]",
76012004,"Senador Guiomard, Plácido de Castro, Acrelândia  [Municipality: Brazil]",,,,
"",76012005,,,"Sena Madureira, Assis Brasil  [Municipality: Brazil]",
76012006,"Feijó, Santa Rosa do Purus, Manoel Urbano  [Municipality: Brazil]",,,,
"",76012007,,,"Jordão, Tarauacá  [Municipality: Brazil]",
76012008,"Mâncio Lima, Rodrigues Alves  [Municipality: Brazil]",,,,
"",76013001,,,"Iranduba, Manaus  [Municipality: Brazil]",
76013002,"Beruri, Caapiranga, Manacapuru, Manaquiri  [Municipality: Brazil]",,,,
"",76013003,,,"Rio Preto da Eva, Itacoatiara, Urucurituba  [Municipality: Brazil]",
76013004,Parintins  [Municipality: Brazil],,,,
"",76013005,,,"Maraã, Coari  [Municipality: Brazil]",
76013006,"São Paulo de Olivença, Tabatinga, Amaturá  [Municipality: Brazil]",,,,
"",76013007,,,"Tefé, Uarini, Alvarães  [Municipality: Brazil]",
76013008,"Novo Aripuanã, Borba, Apuí  [Municipality: Brazil]",,,,
"",76013009,,,"Maués, Boa Vista do Ramos  [Municipality: Brazil]",
76013010,"Careiro, Careiro da Várzea  [Municipality: Brazil]",,,,
"",76013011,,,"Pauini, Lábrea  [Municipality: Brazil]",
76013012,"Atalaia do Norte, Guajará, Ipixuna  [Municipality: Brazil]",,,,
"",76013013,,,Manicoré  [Municipality: Brazil],
76013014,"Eirunepé, Envira  [Municipality: Brazil]",,,,
"",76013015,,,"Urucará, São Sebastião do Uatumã, Nhamundá  [Municipality: Brazil]",
76013016,"Presidente Figueiredo, Itapiranga, Silves  [Municipality: Brazil]",,,,
"",76013017,,,Humaitá  [Municipality: Brazil],
76013018,"Santo Antônio do Içá, Tonantins  [Municipality: Brazil]",,,,
"",76013019,,,"Barcelos, Novo Airão  [Municipality: Brazil]",
76013020,São Gabriel da Cachoeira  [Municipality: Brazil],,,,
"",76013021,,,"Itamarati, Carauari  [Municipality: Brazil]",
76013022,Benjamin Constant  [Municipality: Brazil],,,,
"",76013023,,,Autazes  [Municipality: Brazil],
76013024,Boca do Acre  [Municipality: Brazil],,,,
"",76013025,,,"Tapauá, Canutama  [Municipality: Brazil]",
76013026,Nova Olinda do Norte  [Municipality: Brazil],,,,
"",76013027,,,"Jutaí, Juruá  [Municipality: Brazil]",
76013028,"Anori, Anamã  [Municipality: Brazil]",,,,
"",76013029,,,"Japurá, Santa Isabel do Rio Negro  [Municipality: Brazil]",
76013030,Barreirinha  [Municipality: Brazil],,,,
"",76013031,,,Codajás  [Municipality: Brazil],
76013032,Fonte Boa  [Municipality: Brazil],,,,
76014001,76014001,,"Amajari, Alto Alegre, Iracema, Mucajaí, Caracaraí, Rorainópolis, Pacaraima, Cantá, Boa Vista, Uiramutã,",,
"",,,"Bonfim, Normandia, São Luiz, São João da Baliza, Caroebe  [Municipality: Brazil]",,
76015001,Belém  [Municipality: Brazil],,,,
76015002,76015002,,"Marabá, Parauapebas, Água Azul do Norte, Canaã dos Carajás, Curionópolis, Eldorado dos Carajás",,
"",,,[Municipality: Brazil],,
76015003,Ananindeua  [Municipality: Brazil],,,,
76015004,76015004,,"Vitória do Xingu, Senador José Porfírio, Portel, Anapu, Pacajá, Novo Repartimento, Tucuruí, Jacundá",,
"",,,[Municipality: Brazil],,
76015005,"Santarém, Belterra, Placas  [Municipality: Brazil]",,,,
76015006,76015006,,"Breu Branco, Moju, Goianésia do Pará, Ipixuna do Pará, Rondon do Pará, Aurora do Pará, São Domingos do",,
"",,,Capim  [Municipality: Brazil],,
76015007,"Redenção, Pau D'Arco, Rio Maria, Xinguara, Conceição do Araguaia, Floresta do Araguaia, Sapucaia, Piçarra,São Geraldo do Araguaia  [Municipality: Brazil]",,,,
"",76015008,,,"Altamira, Uruará, Prainha, Medicilândia, Brasil Novo  [Municipality: Brazil]",
76015009,"Paragominas, Dom Eliseu, Ulianópolis  [Municipality: Brazil]",,,,
"",76015010,,,"Marituba, Santa Bárbara do Pará, Benevides  [Municipality: Brazil]",
76015011,Castanhal  [Municipality: Brazil],,,,
"",76015012,,,"São Félix do Xingu, Ourilândia do Norte, Cumaru do Norte, Tucumã, Bannach  [Municipality: Brazil]",
76015013,"Jacareacanga, Itaituba, Trairão, Novo Progresso  [Municipality: Brazil]",,,,
"",76015014,,,Abaetetuba  [Municipality: Brazil],
76014001,76014001
